Date,Close,High,Low,Open,Volume,Asset,Downloaded_At
,GC=F,GC=F,GC=F,GC=F,GC=F,,
2016-04-04,1218.0,1222.300048828125,1215.0,1221.699951171875,2038,Gold,2026-04-04 21:52:15.035739
2016-04-05,1228.4000244140625,1236.699951171875,1215.4000244140625,1215.4000244140625,477,Gold,2026-04-04 21:52:15.035739
2016-04-06,1222.5,1230.4000244140625,1217.5999755859375,1230.4000244140625,248,Gold,2026-04-04 21:52:15.035739
2016-04-07,1236.199951171875,1242.9000244140625,1224.5999755859375,1224.800048828125,375,Gold,2026-04-04 21:52:15.035739
2016-04-08,1242.5,1242.800048828125,1232.0,1241.0,409,Gold,2026-04-04 21:52:15.035739
2016-04-11,1256.699951171875,1258.699951171875,1241.5,1241.5,437,Gold,2026-04-04 21:52:15.035739
2016-04-12,1259.4000244140625,1261.699951171875,1253.699951171875,1260.0,185,Gold,2026-04-04 21:52:15.035739
2016-04-13,1246.800048828125,1256.9000244140625,1241.300048828125,1256.5,203,Gold,2026-04-04 21:52:15.035739
2016-04-14,1225.0,1243.699951171875,1224.5,1231.4000244140625,264,Gold,2026-04-04 21:52:15.035739
2016-04-15,1233.0999755859375,1235.0,1225.699951171875,1225.699951171875,97,Gold,2026-04-04 21:52:15.035739
2016-04-18,1233.5999755859375,1241.0999755859375,1232.199951171875,1238.699951171875,304,Gold,2026-04-04 21:52:15.035739
2016-04-19,1253.0,1256.199951171875,1228.800048828125,1231.5999755859375,386,Gold,2026-04-04 21:52:15.035739
2016-04-20,1253.199951171875,1256.0999755859375,1243.0,1256.0999755859375,180,Gold,2026-04-04 21:52:15.035739
2016-04-21,1249.0,1270.5999755859375,1247.5999755859375,1247.699951171875,124,Gold,2026-04-04 21:52:15.035739
2016-04-22,1228.699951171875,1248.5,1228.0,1248.5,188,Gold,2026-04-04 21:52:15.035739
2016-04-25,1238.9000244140625,1240.9000244140625,1231.5999755859375,1231.5999755859375,442,Gold,2026-04-04 21:52:15.035739
2016-04-26,1242.199951171875,1244.199951171875,1233.0,1239.800048828125,97,Gold,2026-04-04 21:52:15.035739
2016-04-27,1249.199951171875,1249.5,1248.5999755859375,1248.5999755859375,547,Gold,2026-04-04 21:52:15.035739
2016-04-28,1265.5,1270.0999755859375,1238.5,1245.9000244140625,887,Gold,2026-04-04 21:52:15.035739
2016-04-29,1289.199951171875,1295.5,1267.199951171875,1267.300048828125,464,Gold,2026-04-04 21:52:15.035739
2016-05-02,1294.699951171875,1304.4000244140625,1290.4000244140625,1292.0999755859375,192,Gold,2026-04-04 21:52:15.035739
2016-05-03,1290.699951171875,1301.5,1284.5,1292.699951171875,151,Gold,2026-04-04 21:52:15.035739
2016-05-04,1273.300048828125,1290.0,1273.0,1286.9000244140625,109,Gold,2026-04-04 21:52:15.035739
2016-05-05,1271.4000244140625,1286.0,1270.800048828125,1282.9000244140625,330,Gold,2026-04-04 21:52:15.035739
